Also available at https://gist.github.com/ced52ea2e02996c1eb4b
Character   0             (Chr(0):                 
Character   1             (Chr(1):                 �
Character   2             (Chr(2):                 �
Character   3             (Chr(3):                 �
Character   4             (Chr(4):                 �
Character   5             (Chr(5):                 �
Character   6             (Chr(6):                 �
Character   7             (Chr(7):                 �
Character   8             (Chr(8):                 [Backspace]
Character   9             (Chr(9):                 [Tab]               (vbTab)
Character   10            (Chr(10):                [Line Feed Return]  (vbLf)
Character   11            (Chr(11):                [Shift+Enter]       (vbVerticalTab)
Character   12            (Chr(12):                [Page Break]        (vbFormFeed)
Character   13            (Chr(13):                [Carriage Return]   (vbCr)
Character   14            (Chr(14):                [Column Break]
Character   15            (Chr(15):                [Shift In]
Character   16            (Chr(16):                �
Character   17            (Chr(17):                �
Character   18            (Chr(18):                �
Character   19            (Chr(19):                �
Character   20            (Chr(20):                �
Character   21            (Chr(21):                �
Character   22            (Chr(22):                �
Character   23            (Chr(23):                �
Character   24            (Chr(24):                �
Character   25            (Chr(25):                �
Character   26            (Chr(26):                �
Character   27            (Chr(27):                �
Character   28            (Chr(28):                �
Character   29            (Chr(29):                �
Character   30            (Chr(30):                �
Character   31            (Chr(31):                �
Character   32            (Chr(32):                (space)
Character   33            (Chr(33):                !
Character   34            (Chr(34):                "
Character   35            (Chr(35):                #
Character   36            (Chr(36):                $
Character   37            (Chr(37):                %
Character   38            (Chr(38):                &
Character   39            (Chr(39):                '
Character   40            (Chr(40):                (
Character   41            (Chr(41):                )
Character   42            (Chr(42):                *
Character   43            (Chr(43):                +
Character   44            (Chr(44):                ,
Character   45            (Chr(45):                -
Character   46            (Chr(46):                .
Character   47            (Chr(47):                /
Character   48            (Chr(48):                0
Character   49            (Chr(49):                1
Character   50            (Chr(50):                2
Character   51            (Chr(51):                3
Character   52            (Chr(52):                4
Character   53            (Chr(53):                5
Character   54            (Chr(54):                6
Character   55            (Chr(55):                7
Character   56            (Chr(56):                8
Character   57            (Chr(57):                9
Character   58            (Chr(58):                :
Character   59            (Chr(59):                ;
